Nome,Ano,Km,Local,Preço,Link
FORD FUSION 2.5 Sel 16v Gasolina 4p Automático,2010/2010,146.527 Km,Santo André (SP),R$ 53.800,https://www.webmotors.com.br/comprar/ford/fusion/25-sel-16v-gasolina-4p-automatico/4-portas/2010/57791937
FORD FUSION 2.5 16v Flex 4p Automático,2015/2016,73.527 Km,São Bernardo do Campo (SP),R$ 79.880,https://www.webmotors.com.br/comprar/ford/fusion/25-16v-flex-4p-automatico/4-portas/2015-2016/56789792
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2018/2018,114.000 Km,Bauru (SP),R$ 92.000,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2018/58460401
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2014/2015,115.353 Km,Viamão (RS),R$ 83.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2014-2015/57317287
FORD FUSION 2.3 Sel 16v Gasolina 4p Automático,2008/2008,53.200 Km,São José do Rio Preto (SP),R$ 55.900,https://www.webmotors.com.br/comprar/ford/fusion/23-sel-16v-gasolina-4p-automatico/4-portas/2008/59215786
FORD FUSION 2.3 Sel 16v Gasolina 4p Automático,2008/2008,156.245 Km,Itu (SP),R$ 21.000,https://www.webmotors.com.br/comprar/ford/fusion/23-sel-16v-gasolina-4p-automatico/4-portas/2008/59193828
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2017/2018,77.000 Km,Rio de Janeiro (RJ),R$ 88.000,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2017-2018/59098446
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2014/2014,73.000 Km,Santo André (SP),R$ 69.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2014/58869867
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2014/2015,114.500 Km,Teresópolis (RJ),R$ 69.900,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2014-2015/58658091
FORD FUSION 2.0 Titanium Awd 16v Gasolina 4p Automático,2014/2014,89.000 Km,Santo André (SP),R$ 68.500,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-awd-16v-gasolina-4p-automatico/4-portas/2014/59057321
FORD FUSION 2.0 Titanium Fwd 16v Gasolina 4p Automático,2014/2015,120.000 Km,Caieiras (SP),R$ 74.992,https://www.webmotors.com.br/comprar/ford/fusion/20-titanium-fwd-16v-gasolina-4p-automatico/4-portas/2014-2015/57140130
